region,method,view,cell_count,adj_precision,adj_recall,adj_f1,original_edge_count,display_edge_count,preserved_edge_count,lost_edge_count,new_edge_count,np2,np3,local_direction_error_deg,angular_error_deg,radial_spearman
广东,Harmonic,disk,108,0.46037735849056605,0.6740331491712708,0.547085201793722,181.0,265.0,122.0,59.0,143.0,0.457609921936118,0.49978653689291197,27.800912214643866,2.2663231480675115,0.7380700601141311
广东,Harmonic,annulus,108,0.4785992217898833,0.6795580110497238,0.5616438356164384,181.0,257.0,123.0,58.0,134.0,0.465050549028407,0.516877140310134,27.277869602414235,2.0225550594756743,0.7539607686225194
广东,Area-balanced,disk,108,0.5551724137931034,0.8895027624309392,0.6836518046709129,181.0,290.0,161.0,20.0,129.0,0.5546092960604503,0.5545486262747313,18.75461852350127,5.4691183459257315,0.9868053769279869
广东,Area-balanced,annulus,108,0.48014440433212996,0.7348066298342542,0.5807860262008734,181.0,277.0,133.0,48.0,144.0,0.5015127716690474,0.5413127309437072,21.720682090046964,2.7563232736508074,0.982308725599474
广东,Regular Topology,disk,108,0.4114285714285714,0.7955801104972375,0.5423728813559322,181.0,350.0,144.0,37.0,206.0,0.4286038456387487,0.42711107867307796,34.15445558770089,5.191741984977323,0.9557003629712194
广东,Regular Topology,annulus,108,0.47101449275362317,0.7182320441988951,0.5689277899343546,181.0,276.0,130.0,51.0,146.0,0.4519382114432854,0.46938625240891163,32.447911681357546,5.191741984977325,0.9432297769775262
广东,GeoDisk,disk,108,0.49491525423728816,0.8066298342541437,0.6134453781512604,181.0,295.0,146.0,35.0,149.0,0.49245797901512667,0.5047434790748249,28.823182783573674,3.7818528003737146,0.9801080339535282
广东,GeoAnnulus,annulus,108,0.49814126394052044,0.7403314917127072,0.5955555555555555,181.0,269.0,134.0,47.0,135.0,0.48907359097272685,0.5265509046657437,28.12653013454964,2.339714995118842,0.9725818590604665
福建,Direct Polar,disk,74,0.7716049382716049,1.0,0.8710801393728224,125.0,162.0,125.0,0.0,37.0,0.7753229435311478,0.754216612286543,11.784091706553745,1.4523812337682735,0.9876194002221397
福建,Direct Polar,annulus,74,0.6906077348066298,1.0,0.8169934640522877,125.0,181.0,125.0,0.0,56.0,0.7178546179219217,0.7210659817267474,16.85839761466339,0.9137541376024272,0.9875009255831172
福建,Harmonic,disk,74,0.6329787234042553,0.952,0.7603833865814698,125.0,188.0,119.0,6.0,69.0,0.6493921591638311,0.6563712058332568,12.09818742749578,4.026970704697494,0.8974898185857089
福建,Harmonic,annulus,74,0.615819209039548,0.872,0.7218543046357616,125.0,177.0,109.0,16.0,68.0,0.626546128635912,0.6694398752531961,17.741867487364974,1.4301313230466643,0.9106405035172157
