region,method,view,cell_count,area_cv,overlap_ratio,gap_ratio,invalid_polygon_count
安徽,GeoAnnulus,annulus,96,0.4361308094029723,0.0,3.9967287895987056e-08,0.0
浙江,Direct Polar,disk,65,0.30708442630557764,5.11527428221468e-06,0.16455290643946985,0.0
浙江,Direct Polar,annulus,65,1.6284495691047394,6.3442284448040355e-06,0.1205478653988661,0.0
浙江,Harmonic,disk,65,0.37821461558550773,4.2407868828982674e-16,1.696314753159307e-15,0.0
浙江,Harmonic,annulus,65,0.4299154442560819,0.0,1.102075593268781e-15,0.0
浙江,Area-balanced,disk,65,0.24886984945330856,0.0,8.481573765796535e-16,0.0
浙江,Area-balanced,annulus,65,0.2849172018428653,5.510377966343905e-16,0.0,0.0
浙江,Regular Topology,disk,65,0.5604877746796033,0.0011848399062666746,0.0019010975606181231,0.0
浙江,Regular Topology,annulus,65,0.7160622645905493,0.0019247855108632062,0.0028070879484547204,0.0
浙江,GeoDisk,disk,65,0.27655907884500136,7.067978138163779e-16,2.43138447952834e-14,0.0
浙江,GeoAnnulus,annulus,65,0.30619424688395713,1.4694341243583748e-15,3.785039483030141e-08,0.0
OVERALL_mean,Direct Polar,disk,107,0.6007764313591903,0.0006043666681170218,0.0976546380490182,3.125
OVERALL_median,Direct Polar,disk,107,0.565299773633595,0.00014450347020613107,0.047859994550810865,3.0
OVERALL_std,Direct Polar,disk,107,0.22587105209943475,0.0008172487956600487,0.08782280018795482,3.090885217631258
OVERALL_mean,Direct Polar,annulus,107,2.148795325843186,0.0007743032261883705,0.07963868487595398,3.375
OVERALL_median,Direct Polar,annulus,107,2.179763413964338,0.0003084096867620599,0.035298379719067574,3.5
OVERALL_std,Direct Polar,annulus,107,0.362778307742265,0.001126980234854716,0.08281006596387219,2.8753881725529062
OVERALL_mean,Harmonic,disk,107,0.8140286609648394,2.1203934414491337e-16,1.27223606486948e-15,0.0
OVERALL_median,Harmonic,disk,107,0.6100861909195594,7.067978138163779e-17,1.27223606486948e-15,0.0
