pl_name,ra,dec,pl_rade,disc_year,discoverymethod
"TOI-122 b",332.9482355,-58.9460850,2.72000000,2020,"Transit"
"HATS-52 b",140.0875894,-31.2692116,15.49083800,2017,"Transit"
"Kepler-250 d",289.5947633,44.1418114,2.18000000,2014,"Transit"
"Kepler-1298 b",284.4227535,49.1061907,1.31000000,2016,"Transit"
"Kepler-1361 b",283.5653603,46.9042278,0.86000000,2016,"Transit"
"Kepler-619 b",290.8490899,48.4159782,3.16000000,2016,"Transit"
"K2-99 b",208.7737624,-5.4424943,11.88151954,2016,"Transit"
"TOI-532 b",85.0800537,11.5626373,5.82000000,2021,"Transit"
"HD 210277 b",332.3748117,-7.5505962,13.60000000,1998,"Radial Velocity"
"Kepler-178 b",287.1010275,46.8964033,2.90000000,2014,"Transit"
"Kepler-1604 b",285.4106549,44.4122318,1.41000000,2016,"Transit"
"Kepler-984 b",296.9588566,46.3940661,2.12000000,2016,"Transit"
"HD 13724 c",33.0859626,-46.8166738,8.18000000,2022,"Radial Velocity"
"Kepler-1286 b",280.2583709,43.8357433,2.15000000,2016,"Transit"
"Kepler-318 b",298.4828337,46.7936357,4.71000000,2014,"Transit"
"Kepler-732 b",283.7317274,45.9585288,2.18000000,2016,"Transit"
"HIP 109600 b",333.0270790,29.0662082,13.20000000,2016,"Radial Velocity"
"Kepler-407 b",286.0363025,49.6145027,1.19000000,2014,"Transit"
"GJ 1148 c",175.4326081,42.7515862,9.71000000,2017,"Radial Velocity"
"Kepler-897 b",290.5867992,51.6957731,2.39000000,2016,"Transit"
"Kepler-435 b",292.2873012,43.1972542,22.31000000,2015,"Transit"
"HD 184010 d",292.8401421,26.6172796,14.30000000,2022,"Radial Velocity"
"WASP-70 A b",315.4771912,-13.4333821,13.04700000,2014,"Transit"
"TOI-1798.01",211.0939367,46.5192825,2.44800000,2024,"Transit"
"TOI-444 b",64.1839982,-26.7664071,2.77000000,2023,"Transit"
"TOI-2202 b",51.2284214,-73.9575458,10.95117414,2021,"Transit"
"TrES-1 b",286.0408755,36.6325360,12.66617000,2004,"Transit"
"Kepler-1052 c",295.3427300,46.6022134,2.30000000,2023,"Transit"
"Kepler-206 b",291.6346564,41.8338415,1.20000000,2014,"Transit"
"Kepler-763 b",292.1445534,47.1573604,1.22000000,2016,"Transit"
"Kepler-155 b",288.4957831,51.0819286,2.09000000,2014,"Transit"
"ups And c",24.1983534,41.4038147,12.30000000,1999,"Radial Velocity"
"NGTS-34 b",162.4997176,-44.5478575,3.65000000,2025,"Transit"
"K2-274 b",129.2823699,20.3992512,2.08000000,2018,"Transit"
"DH Tau b",67.4231674,26.5493897,30.26430000,2004,"Imaging"
"HD 200964 c",316.6664183,3.8033357,13.70000000,2010,"Radial Velocity"
"TOI-1011 b",113.9847611,-32.8419988,1.45000000,2025,"Transit"
"Kepler-1583 b",286.3869335,47.0165188,0.60000000,2016,"Transit"
"HATS-32 b",346.0750861,-21.2720168,14.00004100,2016,"Transit"
"ZTF J1828+2308 b",277.2031946,23.1439121,11.13051784,2025,"Transit"
"Kepler-1876 b",299.1604859,41.1437964,0.85300000,2021,"Transit"
"TOI-6564 b",205.8178791,-56.1564491,16.39873876,2026,"Transit"
"K2-219 c",12.8452963,8.8675474,1.43839723,2018,"Transit"
"HD 37124 b",84.2599947,20.7289784,14.00000000,2002,"Radial Velocity"
"Kepler-881 b",288.9925529,46.6706513,1.78000000,2016,"Transit"
"TOI-333 b",353.3574989,-41.1715206,4.26000000,2025,"Transit"
"Kepler-60 c",288.9612535,42.2650472,1.90000000,2012,"Transit"
"Kepler-665 b",297.0255947,48.4785669,2.60000000,2016,"Transit"
"Kepler-1848 b",299.3814921,45.5920846,1.40885390,2021,"Transit"
"TOI-2096 c",151.6186989,74.8272107,1.91400000,2023,"Transit"
"Kepler-1698 b",293.3450181,39.2577469,1.07315686,2020,"Transit"
"HIP 14810 c",47.8092750,21.0971302,13.60000000,2006,"Radial Velocity"
"HD 25463 c",60.7483361,9.2077676,1.36354953,2023,"Transit"
"Kepler-1869 c",292.6149958,42.7643438,0.74000000,2023,"Transit"
"Kepler-292 b",295.7661979,42.4242822,1.32000000,2014,"Transit"
"Kepler-33 b",289.0775348,46.0051696,1.74000000,2011,"Transit"
"Kepler-601 b",282.0046852,42.1764657,1.90000000,2016,"Transit"
"TOI-1347 b",280.3266806,70.2900536,1.80000000,2024,"Transit"
"K2-417 b",350.1417675,-10.0365901,3.31000000,2023,"Transit"
"Kepler-1020 b",292.6724710,46.3772776,2.28000000,2016,"Transit"
"Kepler-1346 b",291.8413410,45.1791850,1.58000000,2016,"Transit"
"TOI-1750 b",240.3019781,68.9373001,2.78943837,2026,"Transit"
"HD 180314 b",288.7094401,31.8604391,12.00000000,2010,"Radial Velocity"
"Kepler-181 c",296.1512831,50.0957806,1.99000000,2014,"Transit"
"Kepler-953 c",288.9716297,44.6246451,1.19000000,2016,"Transit"
"TOI-1696 b",65.2806480,48.8198312,3.09000000,2022,"Transit"
"TIC 77552382 b",152.5133767,-4.9035250,5.69176189,2026,"Transit"
"HD 96167 b",166.3125657,-10.2913450,14.00000000,2009,"Radial Velocity"
"Kepler-1770 b",299.2502851,43.4103663,2.84141754,2021,"Transit"
"Kepler-292 e",295.7661979,42.4242822,2.67000000,2014,"Transit"
