cell_id,region_id,block_row,block_col,longitude,latitude,scalar_value,month_01_air_temp_c,month_02_air_temp_c,month_03_air_temp_c,month_04_air_temp_c,month_05_air_temp_c,month_06_air_temp_c,month_07_air_temp_c,month_08_air_temp_c,month_09_air_temp_c,month_10_air_temp_c,month_11_air_temp_c,month_12_air_temp_c,theta,rho,is_boundary,original_area_degree2,polygon_wkt
NCEP2000_r005_c015,NCEP-AirTemp-Africa-2000,5,15,17.5,-27.5,17.711426734924316,22.366775512695312,22.3662109375,21.702903747558594,18.95899772644043,14.650006294250488,13.619671821594238,13.016782760620117,15.028717041015625,13.79800796508789,17.944517135620117,18.520008087158203,20.56452178955078,-1.8922613204948067,0.8888888888888891,True,6.25,"POLYGON ((16.25 -28.75, 18.75 -28.75, 18.75 -26.25, 16.25 -26.25, 16.25 -28.75))"
NCEP2000_r005_c016,NCEP-AirTemp-Africa-2000,5,16,20.0,-27.5,19.356424808502197,23.564512252807617,25.44275665283203,24.211933135986328,20.059001922607422,15.54742431640625,13.111006736755371,11.649035453796387,15.7554931640625,14.812005996704102,21.395488739013672,21.261667251586914,25.466772079467773,-1.8155510295235497,0.8571428571428578,False,6.25,"POLYGON ((18.75 -28.75, 21.25 -28.75, 21.25 -26.25, 18.75 -26.25, 18.75 -28.75))"
NCEP2000_r005_c017,NCEP-AirTemp-Africa-2000,5,17,22.5,-27.5,20.858762900034588,24.05451774597168,26.47138214111328,24.83902931213379,20.019670486450195,16.942588806152344,14.63534164428711,12.470327377319336,17.881938934326172,17.49001121520996,24.077096939086914,23.39099884033203,28.032251358032227,-1.7357906577941966,0.8275862068965517,False,6.25,"POLYGON ((21.25 -28.75, 23.75 -28.75, 23.75 -26.25, 21.25 -26.25, 21.25 -28.75))"
NCEP2000_r005_c018,NCEP-AirTemp-Africa-2000,5,18,25.0,-27.5,18.766129970550537,21.377098083496094,23.18379783630371,21.51290512084961,17.200674057006836,14.624847412109375,12.908342361450195,11.046455383300781,16.736135482788086,17.22867202758789,23.047422409057617,21.61333656311035,24.7138729095459,-1.6538587902973783,0.8275862068965518,False,6.25,"POLYGON ((23.75 -28.75, 26.25 -28.75, 26.25 -26.25, 23.75 -26.25, 23.75 -28.75))"
NCEP2000_r005_c019,NCEP-AirTemp-Africa-2000,5,19,27.5,-27.5,14.344150265057882,16.777746200561523,17.955175399780273,16.842588424682617,12.91100788116455,9.941617965698242,8.997334480285645,7.650004863739014,12.535490036010742,14.282010078430176,18.745807647705078,16.72134017944336,18.76968002319336,-1.5707963267948966,0.8275862068965517,False,6.25,"POLYGON ((26.25 -28.75, 28.75 -28.75, 28.75 -26.25, 26.25 -26.25, 26.25 -28.75))"
NCEP2000_r005_c020,NCEP-AirTemp-Africa-2000,5,20,30.0,-27.5,15.004575649897257,17.01871681213379,17.880006790161133,17.65968132019043,14.091008186340332,11.365489959716797,11.31600570678711,10.126134872436523,13.216134071350098,15.416008949279785,17.515810012817383,16.0570068359375,18.39290428161621,-1.4877338632924149,0.8888888888888888,False,6.25,"POLYGON ((28.75 -28.75, 31.25 -28.75, 31.25 -26.25, 28.75 -26.25, 28.75 -28.75))"
NCEP2000_r005_c021,NCEP-AirTemp-Africa-2000,5,21,32.5,-27.5,20.738259474436443,22.463876724243164,23.57172966003418,23.62387466430664,20.924001693725586,18.905162811279297,19.014333724975586,17.822586059570312,18.650968551635742,19.88933753967285,20.320322036743164,20.820337295532227,22.852582931518555,-1.4058019957955965,0.9599999999999999,True,6.25,"POLYGON ((31.25 -28.75, 33.75 -28.75, 33.75 -26.25, 31.25 -26.25, 31.25 -28.75))"
NCEP2000_r006_c014,NCEP-AirTemp-Africa-2000,6,14,15.0,-25.0,19.675952434539795,23.615489959716797,23.702068328857422,22.678068161010742,20.26167106628418,16.818397521972656,16.90367889404297,16.446781158447266,17.52000617980957,17.171342849731445,19.448389053344727,19.601667404174805,21.94386863708496,-1.9970652148288373,0.9565217391304347,True,6.25,"POLYGON ((13.75 -26.25, 16.25 -26.25, 16.25 -23.75, 13.75 -23.75, 13.75 -26.25))"
NCEP2000_r006_c015,NCEP-AirTemp-Africa-2000,6,15,17.5,-25.0,19.301695028940838,23.25613021850586,24.209659576416016,23.21225929260254,19.95900535583496,14.78968334197998,13.457006454467773,12.387744903564453,15.642912864685059,16.51200294494629,22.027097702026367,21.081998825073242,25.0848388671875,-1.9192616157462852,0.888888888888889,False,6.25,"POLYGON ((16.25 -26.25, 18.75 -26.25, 18.75 -23.75, 16.25 -23.75, 16.25 -26.25))"
NCEP2000_r006_c016,NCEP-AirTemp-Africa-2000,6,16,20.0,-25.0,20.179328123728435,22.75967788696289,24.54793357849121,23.671613693237305,20.052669525146484,15.827427864074707,13.949005126953125,11.82097339630127,16.223554611206055,18.12900161743164,24.861286163330078,23.26266860961914,27.046125411987305,-1.836806754738775,0.8148148148148148,False,6.25,"POLYGON ((18.75 -26.25, 21.25 -26.25, 21.25 -23.75, 18.75 -23.75, 18.75 -26.25))"
