region,variant,view,cell_count,adj_precision,adj_recall,adj_f1,original_edge_count,display_edge_count,preserved_edge_count,lost_edge_count,new_edge_count,np2,np3,local_direction_error_deg,angular_error_deg,radial_spearman,area_cv,overlap_ratio,gap_ratio,invalid_polygon_count
广西,No warp,annulus,142,0.5300859598853869,0.7459677419354839,0.6197654941373534,248.0,349.0,185.0,63.0,164.0,0.5274108739606056,0.5789016793502716,26.68791898249663,1.6517307355485245,0.9807708024669367,0.4965796358050457,1.8367926554479685e-16,0.0,0.0
安徽,Full,disk,96,0.5097276264591439,0.81875,0.6282973621103116,160.0,257.0,131.0,29.0,126.0,0.5248159348478892,0.5432156679211878,27.52958608227101,3.931914954583784,0.978893109061313,0.34411955204894834,7.067978138163779e-16,1.724586665711962e-14,0.0
安徽,Full,annulus,96,0.521551724137931,0.75625,0.6173469387755102,160.0,232.0,121.0,39.0,111.0,0.5389379511670533,0.6061935091241087,25.4679042136135,2.4660952389959854,0.9731416169289202,0.4361308094029723,0.0,3.9967287895987056e-08,0.0
安徽,No topology optimization,disk,96,0.5252918287937743,0.84375,0.6474820143884893,160.0,257.0,135.0,25.0,122.0,0.5368580209145183,0.5547692111793888,26.63512841009115,3.6638691482672434,0.9790694519804666,0.3440995506092688,4.2407868828982674e-16,1.766994534540945e-14,0.0
安徽,No topology optimization,annulus,96,0.5086206896551724,0.7375,0.6020408163265306,160.0,232.0,118.0,42.0,114.0,0.5378857806029825,0.6068829317088391,24.5400000669866,2.053316691115983,0.9722327726532827,0.43611759019837826,0.0,4.047577602339946e-08,0.0
安徽,No angular constraint,disk,96,0.5097276264591439,0.81875,0.6282973621103116,160.0,257.0,131.0,29.0,126.0,0.5248159348478892,0.5432156679211878,27.52958608227101,3.931914954583784,0.978893109061313,0.34411955204894834,7.067978138163779e-16,1.724586665711962e-14,0.0
安徽,No angular constraint,annulus,96,0.521551724137931,0.75625,0.6173469387755102,160.0,232.0,121.0,39.0,111.0,0.5389379511670533,0.6061935091241087,25.4679042136135,2.4660952389959854,0.9731416169289202,0.4361308094029723,0.0,3.9967287895987056e-08,0.0
安徽,No radial constraint,disk,96,0.22053231939163498,0.3625,0.27423167848699764,160.0,263.0,58.0,102.0,205.0,0.31300358439206794,0.4059793401070963,63.176055438194986,4.336349650886625,-0.05103092783505155,0.34403931907447916,0.0,1.880082184751565e-14,0.0
安徽,No radial constraint,annulus,96,0.2606837606837607,0.38125,0.3096446700507614,160.0,234.0,61.0,99.0,173.0,0.3734364446173215,0.49283673420138213,54.51173585672768,3.283674452417449,-0.0723412913727618,0.441512032971766,1.8367926554479685e-16,4.3825275801375504e-08,0.0
安徽,No area balancing,disk,96,0.5116279069767442,0.825,0.631578947368421,160.0,258.0,132.0,28.0,126.0,0.5392848028184841,0.549835810096824,26.720938329538548,2.2260738206228283,0.9796120455778622,0.5235472220133874,0.0,3.64707671929251e-14,0.0
安徽,No area balancing,annulus,96,0.5238095238095238,0.75625,0.6189258312020461,160.0,231.0,121.0,39.0,110.0,0.5382493883896747,0.6023082866062753,25.330505376231535,1.6992685927867601,0.9752577319587629,0.596592674627425,1.8367926554479685e-16,4.694693449167108e-08,0.0
安徽,No warp,disk,96,0.5097276264591439,0.81875,0.6282973621103116,160.0,257.0,131.0,29.0,126.0,0.5248159348478892,0.5432156679211878,27.465908541035997,3.851819224326088,0.9797476939772111,0.3520761506764132,0.010697762742038493,0.010697762742039483,0.0
安徽,No warp,annulus,96,0.521551724137931,0.75625,0.6173469387755102,160.0,232.0,121.0,39.0,111.0,0.5389379511670533,0.6061935091241087,25.356527557266645,2.404512709641773,0.9744031470428649,0.435445837007472,0.0,7.347170621791874e-16,0.0
浙江,Full,disk,65,0.6,0.9272727272727272,0.7285714285714284,110.0,170.0,102.0,8.0,68.0,0.6241102448724605,0.63200553410678,17.685913253806106,3.7190652020189283,0.9635926573426574,0.27655907884500136,7.067978138163779e-16,2.43138447952834e-14,0.0
浙江,Full,annulus,65,0.6190476190476191,0.8272727272727273,0.708171206225681,110.0,147.0,91.0,19.0,56.0,0.6652194813733275,0.7458019093129857,21.02148604054693,2.4194189449070924,0.9445804195804196,0.30619424688395713,1.4694341243583748e-15,3.785039483030141e-08,0.0
浙江,No topology optimization,disk,65,0.6058823529411764,0.9363636363636364,0.7357142857142857,110.0,170.0,103.0,7.0,67.0,0.6250840157698934,0.6341071163072801,17.016312765446425,3.441668095233155,0.9649038461538463,0.2763546462388982,0.0,2.4596563920809953e-14,0.0
浙江,No topology optimization,annulus,65,0.6190476190476191,0.8272727272727273,0.708171206225681,110.0,147.0,91.0,19.0,56.0,0.6652878054574888,0.742783547722138,20.246426232102284,1.901053586614488,0.9441870629370629,0.3061904570114817,5.510377966343905e-16,3.147907761464712e-08,0.0
浙江,No angular constraint,disk,65,0.5823529411764706,0.9,0.7071428571428572,110.0,170.0,99.0,11.0,71.0,0.6009160818277274,0.6096005096501939,18.549300692832308,4.306793341481689,0.9613199300699301,0.28078216770168307,8.481573765796535e-16,2.4172485232520125e-14,0.0
浙江,No angular constraint,annulus,65,0.6122448979591837,0.8181818181818182,0.7003891050583659,110.0,147.0,90.0,20.0,57.0,0.6587903712677469,0.7455932658059551,21.448882279544097,2.994241570085584,0.9431381118881119,0.3062711959039061,0.0,4.000788891188088e-08,0.0
浙江,No radial constraint,disk,65,0.30409356725146197,0.4727272727272727,0.3701067615658363,110.0,171.0,52.0,58.0,119.0,0.3768201979487689,0.5011811770660626,59.61488534327161,3.9674711394443265,0.0763986013986014,0.19381658682928815,5.654382510531023e-16,2.2476170479360818e-14,0.0
浙江,No radial constraint,annulus,65,0.3443708609271523,0.4727272727272727,0.39846743295019155,110.0,151.0,52.0,58.0,99.0,0.4719402756292388,0.5862104672065324,51.44772526836157,3.2906326244548034,0.046416083916083914,0.2894834232352565,9.183963277239842e-16,2.8202400236685293e-08,0.0
浙江,No area balancing,disk,65,0.6,0.9272727272727272,0.7285714285714284,110.0,170.0,102.0,8.0,68.0,0.6186545865613414,0.6191223910147543,17.60056404218466,2.7446998385844585,0.9753933566433567,0.48013868854621145,0.0,2.2193451353834268e-14,0.0
浙江,No area balancing,annulus,65,0.6148648648648649,0.8272727272727273,0.7054263565891473,110.0,148.0,91.0,19.0,57.0,0.6655093620359159,0.7471835472457519,21.989224541946594,2.0874013686883104,0.9642482517482518,0.4949560155497827,0.0,2.623043507085466e-08,0.0
浙江,No warp,disk,65,0.6,0.9272727272727272,0.7285714285714284,110.0,170.0,102.0,8.0,68.0,0.6241102448724605,0.63200553410678,17.70147009490295,3.6964471598083524,0.9628496503496503,0.27836615262455416,0.0,1.2722360648694803e-15,0.0
浙江,No warp,annulus,65,0.6190476190476191,0.8272727272727273,0.708171206225681,110.0,147.0,91.0,19.0,56.0,0.6652194813733275,0.7458019093129857,20.87416710075646,2.3841225648029325,0.9421765734265733,0.2968166517210209,5.510377966343905e-16,1.2857548588135778e-15,0.0
OVERALL_mean,Full,disk,107,0.5361792810837702,0.8371466981346759,0.6536047255284027,184.875,289.125,152.875,32.0,136.25,0.54296776042189,0.557643646131009,25.64027436694704,2.820585631050102,0.9761598600803665,0.6687147728614888,3.5339890690818894e-16,3.1063763917229804e-14,0.0
OVERALL_median,Full,disk,107,0.5374362749864563,0.8242686170212765,0.6510651435628281,184.5,290.5,151.0,33.5,139.5,0.5443043398840038,0.5630973502533222,26.649485188891596,2.57770150771284,0.9795005715074205,0.5293070837731937,2.8271912552655114e-16,3.2300660091408475e-14,0.0
OVERALL_std,Full,disk,107,0.04634693848002811,0.06020931915988905,0.052469706122738026,51.67601681907879,80.75967434307793,37.997885279503194,16.664761795905928,45.260357930533424,0.05621121105675742,0.05337067182818526,4.099996914060936,0.8659818584893124,0.008210940134936033,0.5247911694208651,3.205733558678174e-16,9.28241481094311e-15,0.0
