dataset,method,view,node_group,node_count,mean_reference_degree,mean_display_degree,degree_absolute_error,node_adj_precision,node_adj_recall,node_adj_f1,node_neighbor_jaccard,node_angular_error_deg,node_radial_rank_error,node_direction_error_deg,node_neighbor_order_accuracy
江西,Area-balanced,disk,interior,69,4.0,5.956521739130435,1.9565217391304348,0.6517598343685299,0.9565217391304348,0.77241985068072,0.6398550724637679,3.7051816140845375,0.013945857260049224,14.83045040499789,0.9531400966183575
江西,Area-balanced,disk,all,107,3.514018691588785,5.345794392523365,1.8317757009345794,0.6376947040498443,0.9563862928348911,0.7594435678547828,0.6277036048064085,3.0432867454076424,0.022218303650149887,15.981469503299662,0.914423076923077
江西,Area-balanced,annulus,boundary,38,2.6315789473684212,3.9210526315789473,1.2894736842105263,0.6048245614035087,0.881578947368421,0.7084795321637427,0.5744987468671678,1.2488258570805808,0.05660377358490567,20.427296507390544,0.8585858585858587
江西,Area-balanced,annulus,interior,69,4.0,5.579710144927536,1.5797101449275361,0.5735334713595582,0.7971014492753623,0.6626189430537255,0.5149758454106279,1.6348689407534698,0.029532403609515995,19.606368869508188,0.9349999999999999
江西,Area-balanced,annulus,all,107,3.514018691588785,4.990654205607477,1.4766355140186915,0.5846461949265688,0.8271028037383178,0.67890588124233,0.5361148197596796,1.497769527860294,0.03914653500264503,19.897913264270144,0.9078853046594982
江西,Regular Topology,disk,boundary,38,2.6315789473684212,4.447368421052632,1.8157894736842106,0.4607142857142858,0.7543859649122807,0.559920634920635,0.40473057644110283,3.5814085264291307,0.06727904667328699,36.97056880764419,0.6222222222222222
江西,Regular Topology,disk,interior,69,4.0,7.63768115942029,3.6666666666666665,0.4250263022002152,0.75,0.5287670106723816,0.3734796202187506,4.115259095734308,0.06713152857533496,34.42343412092119,0.7637096774193547
江西,Regular Topology,disk,all,107,3.514018691588785,6.5046728971962615,3.0093457943925235,0.4377005393360534,0.7515576323987538,0.5398309146110135,0.38457809065285703,3.925667304766114,0.06718391818021512,35.32802400966394,0.7175724637681159
江西,Regular Topology,annulus,boundary,38,2.6315789473684212,4.447368421052632,1.8157894736842106,0.4607142857142858,0.7543859649122807,0.559920634920635,0.40473057644110283,3.5814085264291307,0.07100297914597815,39.13872641881155,0.6222222222222222
江西,Regular Topology,annulus,interior,69,4.0,5.463768115942029,1.6376811594202898,0.49799861973775017,0.6557971014492754,0.5543298891124978,0.4009949390384172,4.115259095734308,0.06754170084768936,34.458530158658476,0.7354166666666665
江西,Regular Topology,annulus,all,107,3.514018691588785,5.102803738317757,1.7009345794392523,0.4847574543836226,0.6908099688473519,0.5563153876237987,0.40232161400385696,3.925667304766115,0.06877093986951155,36.120655933292284,0.6959302325581395
江西,GeoDisk,disk,boundary,38,2.6315789473684212,4.184210526315789,1.5526315789473684,0.5688596491228071,0.881578947368421,0.6825396825396828,0.5448621553884712,1.2578153706948598,0.04940417080436941,26.0718344263248,0.7745098039215685
江西,GeoDisk,disk,interior,69,4.0,5.9855072463768115,1.9855072463768115,0.5496204278812975,0.8115942028985508,0.6504757722149027,0.4984587071543593,2.494676531252508,0.04252119223407164,26.599877131645542,0.8702020202020202
江西,GeoDisk,disk,all,107,3.514018691588785,5.345794392523365,1.8317757009345794,0.5564530485091232,0.8364485981308412,0.6618629553208992,0.5149384364337635,2.055417427503063,0.04496561453006524,26.412347946578357,0.8376666666666666
江西,GeoAnnulus,annulus,boundary,38,2.6315789473684212,3.8684210526315788,1.236842105263158,0.5976817042606517,0.868421052631579,0.6978070175438598,0.5555764411027568,0.950178959960622,0.05561072492552136,21.76086653483531,0.8383838383838385
江西,GeoAnnulus,annulus,interior,69,4.0,5.405797101449275,1.5507246376811594,0.5395272601794341,0.7210144927536232,0.6093941485245832,0.45471014492753625,2.4332404860419574,0.05168170631665299,26.54005480610411,0.8257309941520465
江西,GeoAnnulus,annulus,all,107,3.514018691588785,4.859813084112149,1.439252336448598,0.5601802403204272,0.7733644859813084,0.640793111353859,0.4905318202047175,1.9065457384616702,0.053077058719802506,24.842772990139494,0.8303703703703702
江西,GeoDisk-Final,disk,boundary,38,2.6315789473684212,4.105263157894737,1.4736842105263157,0.6513157894736842,1.0,0.7796992481203009,0.6513157894736842,1.4089960793313494,0.06032770605759683,18.32237463732494,0.918918918918919
江西,GeoDisk-Final,disk,interior,69,4.0,5.971014492753623,1.9710144927536233,0.6758454106280192,1.0,0.8048601961645439,0.6758454106280192,4.050137060118242,0.039513262236806124,12.126095624807723,0.9492753623188406
江西,GeoDisk-Final,disk,all,107,3.514018691588785,5.308411214953271,1.794392523364486,0.6671339563862928,1.0,0.7959245323731309,0.6671339563862928,3.112161758530374,0.04690530770587197,14.326643311496083,0.9386792452830188
江西,GeoAnnulus-Final,annulus,boundary,38,2.6315789473684212,3.8947368421052633,1.263157894736842,0.6867167919799498,1.0,0.8069548872180451,0.6867167919799498,1.1874089672434092,0.07398212512413109,20.97697326495716,0.882882882882883
江西,GeoAnnulus-Final,annulus,interior,69,4.0,5.681159420289855,1.710144927536232,0.6462732919254658,0.9130434782608695,0.7513718970240708,0.6158730158730158,2.0385813742537113,0.04922067268252665,18.350712435555582,0.9134328358208954
江西,GeoAnnulus-Final,annulus,all,107,3.514018691588785,5.046728971962617,1.5514018691588785,0.660636404094348,0.9439252336448598,0.7711116505509031,0.6410324877614596,1.7362958465304268,0.05801445953094692,19.283403197399142,0.9025641025641027
广东,Direct Polar,disk,boundary,46,2.4782608695652173,3.369565217391304,0.8913043478260869,0.7731884057971014,1.0,0.8620600414078673,0.7731884057971014,5.083251125217047,0.05851279967492889,20.517633154052813,0.8992248062015503
广东,Direct Polar,disk,interior,62,4.0,5.145161290322581,1.1451612903225807,0.8007680491551458,1.0,0.8828608667318343,0.8007680491551458,1.2194861395411962,0.03436840518540849,13.28017297221869,0.9483870967741936
广东,Direct Polar,disk,all,108,3.3518518518518516,4.388888888888889,1.037037037037037,0.7890211640211641,1.0,0.8740012559457006,0.7890211640211641,2.8651638186253563,0.0446521287642783,16.36279490151841,0.9282539682539682
广东,Direct Polar,annulus,boundary,46,2.4782608695652173,3.5869565217391304,1.108695652173913,0.7158385093167702,1.0,0.8260351966873705,0.7158385093167702,2.282203363182538,0.05749695245835027,22.769084633940412,0.9069767441860463
广东,Direct Polar,annulus,interior,62,4.0,5.693548387096774,1.6935483870967742,0.7096774193548384,1.0,0.8279569892473115,0.7096774193548384,0.6834164966245303,0.03180584865842629,18.510978339390498,0.9478494623655914
广东,Direct Polar,annulus,all,108,3.3518518518518516,4.796296296296297,1.4444444444444444,0.7123015873015873,1.0,0.8271384479717815,0.7123015873015873,1.3643812731214595,0.04274835583246799,20.324616205587677,0.9311111111111111
广东,Harmonic,disk,boundary,46,2.4782608695652173,3.4782608695652173,1.0,0.3547101449275362,0.5072463768115942,0.40874741200828163,0.3032608695652174,1.5383457339212847,0.19301097114993904,39.12760539857432,0.8148148148148148
广东,Harmonic,disk,interior,62,4.0,5.967741935483871,2.032258064516129,0.5140168970814133,0.75,0.6030780151747892,0.45763627053949635,2.8064354230792277,0.12722339463370516,22.011264668147902,0.86875
广东,Harmonic,disk,all,108,3.3518518518518516,4.907407407407407,1.5925925925925926,0.44616402116402115,0.646604938271605,0.5203075730853508,0.39188378493934045,2.2663231480675115,0.15524402907580478,29.301557942218412,0.854040404040404
广东,Harmonic,annulus,boundary,46,2.4782608695652173,3.4347826086956523,0.9565217391304348,0.3659420289855072,0.5144927536231885,0.41889233954451355,0.3119565217391304,1.5077654858518514,0.18549370174725718,38.237902314962746,0.8148148148148148
