dataset,method,view,tolerance,adj_precision,adj_recall,adj_f1,original_edge_count,display_edge_count,preserved_edge_count,lost_edge_count,new_edge_count,np2
湖北,GeoAnnulus-Final,annulus,1e-06,0.5975609756097561,0.8711111111111111,0.7088607594936708,225,328,196,29,132,0.5965785802050131
湖北,GeoAnnulus-Final,annulus,5e-06,0.5975609756097561,0.8711111111111111,0.7088607594936708,225,328,196,29,132,0.5965785802050131
湖北,GeoAnnulus-Final,annulus,2e-05,0.5975609756097561,0.8711111111111111,0.7088607594936708,225,328,196,29,132,0.5965785802050131
湖北,GeoAnnulus-Final,annulus,0.0001,0.5975609756097561,0.8711111111111111,0.7088607594936708,225,328,196,29,132,0.5965785802050131
湖北,GeoAnnulus-Final,annulus,0.0005,0.599388379204893,0.8711111111111111,0.7101449275362318,225,327,196,29,131,0.59868437731468
湖南,Direct Polar,disk,1e-06,0.6533333333333333,0.8099173553719008,0.7232472324723247,242,300,196,46,104,0.5638214964122853
湖南,Direct Polar,disk,5e-06,0.7017543859649122,0.9917355371900827,0.821917808219178,242,342,240,2,102,0.7095356313015236
湖南,Direct Polar,disk,2e-05,0.7619047619047619,0.9917355371900827,0.8617594254937163,242,315,240,2,75,0.7617867128816034
湖南,Direct Polar,disk,0.0001,0.7766990291262136,0.9917355371900827,0.8711433756805808,242,309,240,2,69,0.7792861080199218
湖南,Direct Polar,disk,0.0005,0.7766990291262136,0.9917355371900827,0.8711433756805808,242,309,240,2,69,0.7779621248850758
湖南,Direct Polar,annulus,1e-06,0.6346749226006192,0.8471074380165289,0.7256637168141593,242,323,205,37,118,0.5636009107826129
湖南,Direct Polar,annulus,5e-06,0.6539509536784741,0.9917355371900827,0.7881773399014778,242,367,240,2,127,0.6533920766016357
湖南,Direct Polar,annulus,2e-05,0.7038123167155426,0.9917355371900827,0.823327615780446,242,341,240,2,101,0.7146751853701979
湖南,Direct Polar,annulus,0.0001,0.7079646017699115,0.9917355371900827,0.8261617900172117,242,339,240,2,99,0.7160975279958467
湖南,Direct Polar,annulus,0.0005,0.7100591715976331,0.9917355371900827,0.8275862068965518,242,338,240,2,98,0.7205977746601122
湖南,Harmonic,disk,1e-06,0.6454293628808865,0.9628099173553719,0.7728026533996684,242,361,233,9,128,0.6580558897147788
湖南,Harmonic,disk,5e-06,0.6454293628808865,0.9628099173553719,0.7728026533996684,242,361,233,9,128,0.6580558897147788
湖南,Harmonic,disk,2e-05,0.6454293628808865,0.9628099173553719,0.7728026533996684,242,361,233,9,128,0.6580558897147788
湖南,Harmonic,disk,0.0001,0.6454293628808865,0.9628099173553719,0.7728026533996684,242,361,233,9,128,0.6580558897147788
湖南,Harmonic,disk,0.0005,0.6454293628808865,0.9628099173553719,0.7728026533996684,242,361,233,9,128,0.6580558897147788
湖南,Harmonic,annulus,1e-06,0.6242603550295858,0.871900826446281,0.7275862068965517,242,338,211,31,127,0.6257124398053416
湖南,Harmonic,annulus,5e-06,0.6242603550295858,0.871900826446281,0.7275862068965517,242,338,211,31,127,0.6257124398053416
湖南,Harmonic,annulus,2e-05,0.6242603550295858,0.871900826446281,0.7275862068965517,242,338,211,31,127,0.6257124398053416
湖南,Harmonic,annulus,0.0001,0.6242603550295858,0.871900826446281,0.7275862068965517,242,338,211,31,127,0.6257124398053416
湖南,Harmonic,annulus,0.0005,0.6242603550295858,0.871900826446281,0.7275862068965517,242,338,211,31,127,0.6257124398053416
湖南,Area-balanced,disk,1e-06,0.6294277929155313,0.9545454545454546,0.7586206896551725,242,367,231,11,136,0.6371082453750078
湖南,Area-balanced,disk,5e-06,0.6294277929155313,0.9545454545454546,0.7586206896551725,242,367,231,11,136,0.6371082453750078
湖南,Area-balanced,disk,2e-05,0.6294277929155313,0.9545454545454546,0.7586206896551725,242,367,231,11,136,0.6371082453750078
湖南,Area-balanced,disk,0.0001,0.6294277929155313,0.9545454545454546,0.7586206896551725,242,367,231,11,136,0.6371082453750078
湖南,Area-balanced,disk,0.0005,0.6294277929155313,0.9545454545454546,0.7586206896551725,242,367,231,11,136,0.6371082453750078
湖南,Area-balanced,annulus,1e-06,0.5804597701149425,0.8347107438016529,0.6847457627118645,242,348,202,40,146,0.5934783434484006
湖南,Area-balanced,annulus,5e-06,0.5804597701149425,0.8347107438016529,0.6847457627118645,242,348,202,40,146,0.5934783434484006
湖南,Area-balanced,annulus,2e-05,0.5804597701149425,0.8347107438016529,0.6847457627118645,242,348,202,40,146,0.5934783434484006
湖南,Area-balanced,annulus,0.0001,0.5804597701149425,0.8347107438016529,0.6847457627118645,242,348,202,40,146,0.5934783434484006
湖南,Area-balanced,annulus,0.0005,0.5804597701149425,0.8347107438016529,0.6847457627118645,242,348,202,40,146,0.5934783434484006
湖南,Regular Topology,disk,1e-06,0.4351648351648352,0.8181818181818182,0.5681492109038738,242,455,198,44,257,0.4564745564413022
湖南,Regular Topology,disk,5e-06,0.4351648351648352,0.8181818181818182,0.5681492109038738,242,455,198,44,257,0.4564745564413022
湖南,Regular Topology,disk,2e-05,0.4351648351648352,0.8181818181818182,0.5681492109038738,242,455,198,44,257,0.4564745564413022
湖南,Regular Topology,disk,0.0001,0.4351648351648352,0.8181818181818182,0.5681492109038738,242,455,198,44,257,0.4564745564413022
湖南,Regular Topology,disk,0.0005,0.4351648351648352,0.8181818181818182,0.5681492109038738,242,455,198,44,257,0.4564745564413022
