dataset,method,view,neighbor_model,cell_count,adj_precision,adj_recall,adj_f1,original_edge_count,display_edge_count,preserved_edge_count,lost_edge_count,new_edge_count,np2
江西,Area-balanced,annulus,8-neighbor,107,0.8876404494382022,0.6546961325966851,0.753577106518283,362,267,237,125,30,0.6438558920144906
江西,Regular Topology,disk,4-neighbor,107,0.4051724137931034,0.75,0.5261194029850746,188,348,141,47,207,0.4349673420192829
江西,Regular Topology,disk,8-neighbor,107,0.6436781609195402,0.6187845303867403,0.6309859154929578,362,348,224,138,124,0.5678063830405624
江西,Regular Topology,annulus,4-neighbor,107,0.46886446886446886,0.6808510638297872,0.5553145336225597,188,273,128,60,145,0.4621996563350855
江西,Regular Topology,annulus,8-neighbor,107,0.6996336996336996,0.5276243093922652,0.6015748031496063,362,273,191,171,82,0.5252996724863207
江西,GeoDisk,disk,4-neighbor,107,0.5454545454545454,0.8297872340425532,0.6582278481012658,188,286,156,32,130,0.5674903102222536
江西,GeoDisk,disk,8-neighbor,107,0.8426573426573427,0.6657458563535912,0.7438271604938272,362,286,241,121,45,0.6766031553041704
江西,GeoAnnulus,annulus,4-neighbor,107,0.55,0.7606382978723404,0.6383928571428571,188,260,143,45,117,0.5661421930273286
江西,GeoAnnulus,annulus,8-neighbor,107,0.8192307692307692,0.5883977900552486,0.6848874598070739,362,260,213,149,47,0.5854307964347145
江西,GeoDisk-Final,disk,4-neighbor,107,0.6619718309859155,1.0,0.7966101694915254,188,284,188,0,96,0.6708418718003222
江西,GeoDisk-Final,disk,8-neighbor,107,0.9823943661971831,0.7707182320441989,0.8637770897832817,362,284,279,83,5,0.7873320490857474
江西,GeoAnnulus-Final,annulus,4-neighbor,107,0.6518518518518519,0.9361702127659575,0.7685589519650656,188,270,176,12,94,0.661353850626803
江西,GeoAnnulus-Final,annulus,8-neighbor,107,0.9629629629629629,0.7182320441988951,0.8227848101265822,362,270,260,102,10,0.7250380767714835
广东,Direct Polar,disk,4-neighbor,108,0.7637130801687764,1.0,0.8660287081339713,181,237,181,0,56,0.7679044539338656
广东,Direct Polar,disk,8-neighbor,108,1.0,0.6790830945558739,0.8088737201365187,349,237,237,112,0,0.725810322909482
广东,Direct Polar,annulus,4-neighbor,108,0.6988416988416989,1.0,0.8227272727272728,181,259,181,0,78,0.7136013219873298
广东,Direct Polar,annulus,8-neighbor,108,0.9961389961389961,0.7392550143266475,0.8486842105263157,349,259,258,91,1,0.7676945055078421
广东,Harmonic,disk,4-neighbor,108,0.46037735849056605,0.6740331491712708,0.547085201793722,181,265,122,59,143,0.457609921936118
广东,Harmonic,disk,8-neighbor,108,0.690566037735849,0.5243553008595988,0.5960912052117263,349,265,183,166,82,0.520672441744266
广东,Harmonic,annulus,4-neighbor,108,0.4785992217898833,0.6795580110497238,0.5616438356164384,181,257,123,58,134,0.465050549028407
广东,Harmonic,annulus,8-neighbor,108,0.7237354085603113,0.5329512893982808,0.613861386138614,349,257,186,163,71,0.5272641053369527
广东,Area-balanced,disk,4-neighbor,108,0.5551724137931034,0.8895027624309392,0.6836518046709129,181,290,161,20,129,0.5546092960604503
广东,Area-balanced,disk,8-neighbor,108,0.8689655172413793,0.7220630372492837,0.7887323943661972,349,290,252,97,38,0.7020845440713102
广东,Area-balanced,annulus,4-neighbor,108,0.48014440433212996,0.7348066298342542,0.5807860262008734,181,277,133,48,144,0.5015127716690474
广东,Area-balanced,annulus,8-neighbor,108,0.7689530685920578,0.6103151862464183,0.6805111821086262,349,277,213,136,64,0.5602313065100601
广东,Regular Topology,disk,4-neighbor,108,0.4114285714285714,0.7955801104972375,0.5423728813559322,181,350,144,37,206,0.4286038456387487
广东,Regular Topology,disk,8-neighbor,108,0.66,0.66189111747851,0.6609442060085837,349,350,231,118,119,0.5849591502242374
