dataset,transition,bin_count,encoding_mode,cell_count,cell_identity_accuracy,geometry_centroid_drift,temporal_adjacency_jaccard,delta_sign_accuracy,delta_mae,normalized_delta_mae,delta_bias,magnitude_spearman,top10_change_jaccard,high_change_event_f1
湖南,M05-M06,7,derived_from_value_bins,137,1.0,0.0,1.0,0.9343065693430657,2.4015859645362565,0.1600209966125311,0.8891589144911716,0.8875533692282378,0.5555555555555556,0.6909090909090908
湖南,M05-M06,7,direct_diverging_delta,137,1.0,0.0,1.0,1.0,1.3393186712263152,0.08924065668113222,0.3654376079464793,0.8660254037844386,0.0,0.6796116504854368
湖南,M06-M07,7,derived_from_value_bins,137,1.0,0.0,1.0,0.26277372262773724,2.5380395982597426,0.16911309107938477,-0.7610949120162267,0.21186744663508103,0.07692307692307693,0.4507042253521127
湖南,M06-M07,7,direct_diverging_delta,137,1.0,0.0,1.0,0.6715328467153284,1.1073837640251765,0.07378651281635998,0.3719149895003946,0.7103851998249979,0.0,0.5511811023622047
湖南,M07-M08,7,derived_from_value_bins,137,1.0,0.0,1.0,0.23357664233576642,1.782768197423966,0.11878831234591929,0.1452769628672954,0.45990760338077213,0.2727272727272727,0.5671641791044776
湖南,M07-M08,7,direct_diverging_delta,137,1.0,0.0,1.0,0.31386861313868614,1.1005836302063539,0.07333341048862518,0.04825927395263418,0.7899339154133178,0.12,0.8974358974358974
湖南,M08-M09,7,derived_from_value_bins,137,1.0,0.0,1.0,0.9343065693430657,2.196614812820971,0.1463634850936245,-0.4597795141698182,0.5941369485727587,0.07692307692307693,0.6493506493506493
湖南,M08-M09,7,direct_diverging_delta,137,1.0,0.0,1.0,1.0,1.0141831076991328,0.06757642409562771,0.00015346737550741673,0.8140369235515877,0.5555555555555556,0.4444444444444445
湖南,M09-M10,7,derived_from_value_bins,137,1.0,0.0,1.0,0.6496350364963503,1.8959201679240032,0.12632778474268774,0.08706416006723385,0.798435253617017,0.07692307692307693,0.8484848484848486
湖南,M09-M10,7,direct_diverging_delta,137,1.0,0.0,1.0,0.8175182481751825,1.0707787757216278,0.07134747178438301,-0.012976980063092924,0.9335702339654068,0.5555555555555556,0.8333333333333333
湖南,M10-M11,7,derived_from_value_bins,137,1.0,0.0,1.0,0.7737226277372263,2.043155132015403,0.136138254173319,-0.11583379410014466,0.8981918086333965,0.8666666666666667,0.88
湖南,M10-M11,7,direct_diverging_delta,137,1.0,0.0,1.0,0.8978102189781022,1.7319516452292518,0.11540233514306654,-0.6781252702225771,0.9380656820320318,0.5555555555555556,0.8333333333333333
湖南,M11-M12,7,derived_from_value_bins,137,1.0,0.0,1.0,0.927007299270073,3.3029317193942127,0.22007891172143115,-1.5719925527415655,0.30606629279403397,0.12,0.5789473684210527
湖南,M11-M12,7,direct_diverging_delta,137,1.0,0.0,1.0,1.0,2.1488369556249274,0.14317998034408774,-1.6915123483212933,0.6257726196897574,0.037037037037037035,0.0
湖南,M01-M02,9,derived_from_value_bins,137,1.0,0.0,1.0,0.8540145985401459,1.5031669298454584,0.10015809291895014,-0.17556265111415312,0.6902745105945531,0.16666666666666666,0.7462686567164178
湖南,M01-M02,9,direct_diverging_delta,137,1.0,0.0,1.0,0.8613138686131386,0.8583249874944767,0.057191381838720315,-0.11873097662232619,0.9320605214130432,0.6470588235294118,0.6481481481481481
湖南,M02-M03,9,derived_from_value_bins,137,1.0,0.0,1.0,0.7956204379562044,1.607921966065526,0.10713806596328543,-0.6234121265088568,0.8802458590095934,0.6470588235294118,0.6
湖南,M02-M03,9,direct_diverging_delta,137,1.0,0.0,1.0,0.8394160583941606,0.8459219302434511,0.05636494896825063,-0.03709759015449281,0.9786361300555835,0.75,0.7865168539325843
湖南,M03-M04,9,derived_from_value_bins,137,1.0,0.0,1.0,0.9854014598540146,1.7721189548851763,0.1180787385770058,0.6827001067391442,0.751889044392581,0.16666666666666666,0.6440677966101694
湖南,M03-M04,9,direct_diverging_delta,137,1.0,0.0,1.0,1.0,0.7457478628959796,0.04969021221995831,0.034850749557476954,0.959985685654415,0.21739130434782608,0.9855072463768115
湖南,M04-M05,9,derived_from_value_bins,137,1.0,0.0,1.0,0.35766423357664234,1.4849201504703116,0.09894228475563761,-0.05427401839619943,0.5696751389115612,0.21739130434782608,0.6666666666666666
湖南,M04-M05,9,direct_diverging_delta,137,1.0,0.0,1.0,0.49635036496350365,0.8224490428693192,0.05480091799603116,0.09814366345772117,0.816514185157111,0.12,0.6796116504854368
湖南,M05-M06,9,derived_from_value_bins,137,1.0,0.0,1.0,0.9781021897810219,2.0617100769335472,0.1373745958332626,0.6136159273026804,0.7825205175967563,0.47368421052631576,0.6451612903225806
